nkid,ngir,yrbirth,hours,wagert,school,jobten,cpi,black,other,age,mcol,mhigh,fcol,fhigh,manager,prof,self,crafts,labor,farm,married,never,divorce,psidJAN,psidFEB,psidMARCH,psidAPRIL,psidMAY,psidJUNE,psidJULY,psidAUG,psidSEPT,psidOCT,psidNOV,psidDEC
2,1,1942,1668,16.79,15,324,1.4,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1,1956,1896,19.51,12,132,1.4,0,0,36,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1947,2020,22.77,17,276,1.4,0,0,45,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,1945,1983,16.89,17,144,1.4,0,0,47,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1953,1749,9.72,14,180,1.4,0,0,39,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1954,3048,13.45,17,18,1.4,0,0,38,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1956,2102,49.81,17,36,1.4,0,0,36,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,1957,2160,16.41,17,156,1.4,0,0,35,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1966,2205,18.14,14,12,1.4,0,0,26,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1960,975,8.21,13,12,1.4,0,0,32,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2,1948,2041,13.87,12,240,1.4,0,0,44,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,1952,2976,14.13,12,12,1.4,0,0,40,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1961,1952,21.77,12,84,1.4,0,0,31,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1961,1974,20.26,14,84,1.4,0,0,31,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1962,2010,9.4,12,60,1.4,0,0,30,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
